ID_EMPRESA,EMPRESA,ANIO,MES,NOMBRE_PUNTO_ENTREGA,NOMBRE_RUTA,TIPO_REMITENTE,NIT_REMITENTE,NUMERO_FACTURA,VALOR_FACTURA_PESOS,CANTIDAD_KG,CARGO_TRANSPORTE_PESOS_KG,VALOR_TRANSPORTE_PESOS,ECO_PESOS_KG,RECAUDO_POR_ECO_PESOS
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,4,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9003967595,634095478160656148634095478,15949970,85904.94,96.43,8283813,89.24,7666157
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2019,12,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9003967595,236811732558930877236811732,39930960,137125.55,96.65,13253184,194.55,26677776
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2019,12,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9003352790,311997019341206096311997019,10630108,36504.49,96.65,3528159,194.55,7101949
543.0,PROVIGAS S.A.S.  E.S.P.,2019,12,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,84337402,18850,4474,84337402,122.36,2
543.0,PROVIGAS S.A.S.  E.S.P.,2020,8,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,42308843,9366,4517,42308843,146.45,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2019,11,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8907017660,404820115118161786404820115,9230920,38665.16,96.4,3727321,142.34,5503599
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,3,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9001758302,479904544315812329479904544,13045822,45609.98,96.43,4398170,189.6,8647652
543.0,PROVIGAS S.A.S.  E.S.P.,2020,5,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,37715301,8420,4479,37715301,157,2
543.0,PROVIGAS S.A.S.  E.S.P.,2020,8,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,41590595,9207,4517,41590595,146.45,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,3,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9003967595,884894473323510015884894473,19432520,67936.37,96.44,6551784,189.6,12880736
543.0,PROVIGAS S.A.S.  E.S.P.,2020,2,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,45601854,10194,4473,45601854,179.64,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,6,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9005702622,737950910532440908737950910,4127320,23344.57,96.61,2255319,80.19,1872001
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,4,Chimitá,Galán - Bucaramanga   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,615576664969506196615576664,55781868,357599,66.75,23869733,89.24,31912135
