ID_EMPRESA,EMPRESA,ANIO,MES,NOMBRE_PUNTO_ENTREGA,NOMBRE_RUTA,TIPO_REMITENTE,NIT_REMITENTE,NUMERO_FACTURA,VALOR_FACTURA_PESOS,CANTIDAD_KG,CARGO_TRANSPORTE_PESOS_KG,VALOR_TRANSPORTE_PESOS,ECO_PESOS_KG,RECAUDO_POR_ECO_PESOS
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,1,Puerto Salgar,Galán - Puerto Salgar   (poliducto),DISTRIBUIDOR,9001677705,335776046600891325335776046,4524742,22499.96,96.47,2170571,104.63,2354171
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2019,11,Puerto Salgar,Galán - Puerto Salgar   (poliducto),DISTRIBUIDOR,9001677705,382080057380742959382080057,7427344,31078.05,96.65,3003694,142.34,4423650
543.0,PROVIGAS S.A.S.  E.S.P.,2020,5,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,45003044,10047,4479,45003044,157,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,6,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8301306480,420984576954025112420984576,1140791,6455.36,96.53,623136,80.19,517655
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,1,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,776236568725904895776236568,42010309,208902.58,96.47,20152832,104.63,21857477
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,6,Sebastopol,Galán - Sebastopol   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,156427382237468262156427382,7281924,41206,96.53,3977615,80.19,3304309
543.0,PROVIGAS S.A.S.  E.S.P.,2020,3,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,43374779,9623,4507,43374779,189.6,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,3,Sebastopol,Galán - Sebastopol   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,89220383076802492892203830,20792534,72691,96.44,7010320,189.6,13782214
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,8,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9009135075,685331187101746889685331187,4810050,19781.42,96.71,1913061,146.45,2896989
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,5,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9003352790,149059209608061341149059209,8202392,32366.79,96.61,3126956,156.81,5075436
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,4,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,208409651314546795208409651,12811074,68999.16,96.43,6653589,89.24,6157485
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,5,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9003352790,149059209608061341149059209,8038839,31721.41,96.61,3064605,156.81,4974234
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,6,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8050035836,997920734447183589997920734,3241789,18335.91,96.61,1771432,80.19,1470357
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,8,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9001758302,376330767163533553376330767,5595926,23013.35,96.71,2225621,146.45,3370305
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2019,11,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8301306480,342427385204514929342427385,3462540,14503.39,96.4,1398127,142.34,2064413
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,6,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9003967595,150906375826463551150906375,21235108,120162.45,96.53,11599281,80.19,9635827
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,6,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,208201715876849839208201715,27805802,157343.83,96.53,15188400,80.19,12617402
543.0,PROVIGAS S.A.S.  E.S.P.,2020,2,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,43374100,9696,4473,43374100,179.64,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,8,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9005702622,142262239217082293142262239,45072,185.45,96.59,17913,146.45,27159
